,user,track,count
11067,0343ccf99b6352e6e1e6f23ff1a5048b40df88f1,TRBEDVH128F14599C7,4
11104,a9196d949c71e11904ea0972a7eed62c5ccad960,TRALNJR128F145AC96,1
11251,cafdf682c311b252dc7dfa0e2ca291a29087d7df,TRBHLXQ128E07856AC,1
11350,3db2ffb56523e0873f01490d95f377bd4777ceb0,TRAEUIW12903D018F0,1
11380,03311b752e06615625b34523740c68639584ad54,TRBBECU128F931E67C,1
11489,f1b47a0687d2d85c59efe1a012878b7eba4ee909,TRBBJAJ128F425DA40,1
11524,e0a5b7039c95b14f18c5f11246142b0e8d43dcfe,TRAYANL128F9316BF9,9
11593,e62ed6a265c93373b39ce54e7cbc589b0013615f,TRBHFVD128F4248837,2
11739,994b49bcc2b8b0c91c5e2a5327d3808767274df1,TRAZORC128F426C323,1
11747,02c7571f564f49073df6d75ad4f4f0b1f7cef2d0,TRAENOH128F933978A,1
11985,42c1679f5e9910cba28250945c13ae7ce63528e3,TRASHPV128F4281CB1,2
12039,e2eae280b574073c7da435aedf07ca0b82889bfe,TRATHTH128F42BC347,3
12093,b23467518b84b987e9bbca5a21fc34da20ca98a5,TRAUOEY128F421CBD3,19
12098,4bcba53f747a491c3285d195215c81731abb3835,TRAIYDL128E0791583,1
12178,a3fa9709d4effb700011376482103c27adba06fa,TRAUOEY128F421CBD3,1
12228,dcb2e151dd7df649b459eef700a6dce33b739e1d,TRARUTP128E0797FC7,1
12375,06c5c217b00a6a1e059cd12dcefde66db22d2cca,TRBBQGV12903CB5CD3,1
12421,af242b1a847bb32cd3618e620e8581fccb5ea4e7,TRADYQK128F42A762A,1
12432,7c6ff53a0d4023101ea504a6eb86b01ceb7670a9,TRAADLN128F14832E9,2
12443,7a5467b98ab28b1afbcc9176a2b470b3ea61c5a7,TRARUTP128E0797FC7,1
12548,4caa47fce62121d62734d4fdfa8a4443cb8b3387,TRAWBHE12903CBC4CB,1
12594,d6d0e5773883272c092264f4c4cd9628e88102e9,TRACYCJ128F9309246,1
12674,a5324684df5fed5ed65588f0005088a926197547,TRBCKEI128F92FE542,1
12834,86ed1eab0b574959c20021f8fc26b99adbbed3d5,TRAHQBJ12903CAB1FA,1
12838,c87a6462b278a7fb9cfe289943a2da2d579a8565,TRAVPOV128F429EC1B,1
12915,a5520b59decb0d036c4b8935cd0d50d10a3324da,TRBIFGK128F92F23A2,1
12957,60da378e9f3e1cf88e78cdc55335282dc64a371c,TRBHYIK128F92E210B,1
13023,490bcb72ea8aa1fe7ceae303a6147a173ff1c6df,TRBDODQ128F423A780,1
13033,aadd59139402453da44606c274c30e8dec767722,TRBAUVN128F932FEF8,1
13067,a1258e5f097139b54d7cc16ab4873eaf84cc4cb7,TRALAGU128F9343FC7,1
13164,720f6e2ce4ebf47749a5dc920cbeecbde9a38058,TRAKLEZ128F4270649,1
13174,aaaafd9c6bdb97c5a82018161445b5b447483e49,TRAVHLR128F146B476,5
13176,7d076cbbde9ffbdc8d7830d5447799a5c182d466,TRBGQAO128EF35A1AD,1
13218,6d18bb744455e1d6820e6885d6b42550c2166fe6,TRAIVMM12903CFAD62,1
13251,a56210840bd7279c3a242487a972822d6298e8d2,TRAVSVL128F14B12BE,2
13371,e51aa5f2a5bc134915d38ebd8cdfb583f5399e3c,TRBHKXX128F4252D02,1
13448,fbe0953bbf6f295228ef1ef04343418a0c1fea71,TRAGNGY12903C9CD76,4
13478,7da38f9e8b00ea301c19d50f876ae6ed662727d4,TRBDMIN128F147FCBB,1
13493,3721b243daaff031d0b0864e44d2038acfe64902,TRARMHA128F92E7D32,10
13616,0e20e9611d7efdc5722c92f93de98387043cb745,TRARHCB128F148D1B0,1
13626,d2cdd4531328a38758acd4c99d402a0a3a25afe4,TRAURYF128F147805D,1
13649,8675f781b5bbd9899bda1aae318a39e4e3c45243,TRBFNGV12903D0F07F,8
13687,b839f7e3cb4364969f1946d865fd830722b27ea5,TRBDOVF128E0795641,1
13847,40578ee95e199ffa773917d0db4222b37e350bfc,TRATBNG128F92CADA8,2
13876,b3ce7af68d87e19fdf65b0e12dd8ec8de597059a,TRBIFGK128F92F23A2,2
13934,a9c231d5a2822087264446494a8e7106476eaea9,TRACECN128F9310E97,3
14056,80eb22e797163a70164f7e6f3232b1b2c6bd6026,TRAAKDG128F42A0ECB,1
14074,409f69f74f6ef9c68e86f2f3da92242a6f27806f,TRAWBHE12903CBC4CB,1
14114,7740966012d4e297c4950a61e8dca5002f0a87ba,TRAZDPO128E078ECE6,5
14141,e7ac58ba011196fc566867a94bb03898b62d3d07,TRBDSFP128E07937B9,14
14147,8211178323ca5c1c706188c617851c7b971fd298,TRARUTP128E0797FC7,5
14309,804b684df2a37803f96605b5acba0cd780da11bd,TRARUTP128E0797FC7,1
14311,cab2dacffb25b0d2699e3e940f44e7c3ff8805e5,TRAAZLK128F93586D6,1
14316,71773b68a2d4ae24857037da135d9842bc6b68c9,TRBCRJJ128F145D998,5
14408,4020f1ab17ca79f77a2ab98695ab239082f0e17d,TRAADLN128F14832E9,1
14442,8eb8c4564f52a445f6e510d83a3c219a5dd92fc6,TRAKXMS12903CB36F2,11
14460,5942c44818d3a3daac4a67c29370e17c59a0eda8,TRBFNGV12903D0F07F,1
14528,d4ed61d86a5def832d00b010a3bf1b4b6eb275c1,TRAGLXF128E078703E,1
14627,884c5fafee51718724bb6f2bb795058140055aa7,TRARPCK128F92FEA7F,11
14736,1a2481a1c1e47784218ca607b2fc7a2f5d00b147,TRAFTDN128F427C29D,1
14866,02a1971c8b4039dff9a34a91b9bea0f3228585a7,TRABCKL128F423A778,2
14950,f4ee6a1a83a584f5ecdeea42900701d1a4eb79d9,TRBBEYU128F4235623,1
14966,5851fe42a6517eae71fa5eba768232a7239b85ca,TRARUTP128E0797FC7,5
14978,e7728091da8d9a0fe20688ad14790e9190de190c,TRAGSGF128E0780CA7,5
15170,e6c2aa2192141da966cc24e19a335b5b28e75415,TRBFQQY128F4249C56,19
15239,90a48395ed9e5c72ca728b11551b337d331535de,TRAGDLM128F4233397,1
15325,a685521498d77a7d6063ce959fa2dbd43116eff1,TRASTMN12903CF98DB,1
15337,5b87a8801dabe74e6ce6d4a70d879ff6ffd457ae,TRAGNBQ128F149CB93,1
15496,3a8c288857b7670e2ca1d8181282a0ff1eb1cc0e,TRAWMBE128F423A76C,1
15508,bf1c3ad78171c2899015407737f3337f785cf8fc,TRASBSO128F1465A78,1
15528,92ce04f13a1fcba3ebc17cf5902e2630c17bafb5,TRARUTP128E0797FC7,1
15651,280b3a16e0ce9c5a28a42466f8a735eab1edb12b,TRBAUHT128F92F0657,3
15695,adfa5ed56aef82f84ca1256b7fef82eed848cfe6,TRBAUHT128F92F0657,1
15830,3d70ebff6c0ef78ed8c3203981d937be90a65698,TRBIFGK128F92F23A2,1
15839,161fc310f3ac6e427bfed1e663295f752815b23b,TRAWBHE12903CBC4CB,1
15887,4775b2cbd7445e0891520b4e75e87fc9cf7a74a1,TRBIFGK128F92F23A2,1
15898,604e40949e565d0b57bd8500d0028295f4c07968,TRAMCGL128F92F3D87,2
15941,a19d690eec1614a3937b5503b8880fc34d33ad2e,TRAALCM128F4264370,1
16009,ad49e7a7c7acb512a9515af33ea4ae035c79af84,TRAURYF128F147805D,1
16032,3f2399603205e5780b1a94752d0802d06a16a6eb,TRAQDUR128F931B4E9,2
16074,dda4897e7a289c0f983f829c84067cdcc25b3d5a,TRBAUHT128F92F0657,1
16109,da21448f6db22b13b40be85b1b145cb82ff1f866,TRBCUPT128F1462B73,14
16130,64db7e5580fb973cbcd9eca0532bd23f746c308a,TRAVPOV128F429EC1B,1
16134,2404047e51db5af7a5731450fff86884f0d0c022,TRAZDPO128E078ECE6,1
16540,5b2682991b3958e7f57436bbdf837dcfa2df1b18,TRAUWFN128F1462E09,1
16690,f14e4a4a816847af77ba485bc795667fc7fa0d37,TRAQFGR128EF34E7AF,1
16713,7ae0f32a28631a25751fca1ca1d8e2ae8d49ce6f,TRAWBHE12903CBC4CB,5
16762,fbea04153b918a59aeaf7c824393e629bb2ca259,TRAXGLQ12903CDBF13,1
16797,39e728bedfaf62e6ca01ba3f467483a6e5b0aaf9,TRAUURC128E078EC6E,1
16857,d161855354c7b69382fb9274907dfaf5c7894c10,TRATBVA128F9312ACC,1
16867,f6b04df041ee401f8bb97a30394ed1408ade558a,TRAHUQT128F4281228,1
17021,d26c07f1a9c486918bfddbb6a1601389400bba76,TRBASRX12903C9FDA8,1
17066,91cdb2b3c2bec3aecf8eaef31ca8a80beafb0eff,TRADESF128F4214D8E,1
17147,c5534e5185b6c26d19628b744255dfa3739abc11,TRADVGV128F42BCACE,2
17210,c3e655d6d7507e4eed2260a6e435294d9f804fc7,TRAAKDG128F42A0ECB,2
17273,412bb747dadef609cc18f9c85ce20314d32c69d3,TRAGYMA128EF34B55E,1
17528,b606c2812b7bb3223ed0a1e8ee2f622bcb5e4ad0,TRAUJKJ128E078FA48,2
17534,45f21fb65edef1724063e158e5d628123af4b187,TRASDOI128F1480E28,2
17672,be4f72f876ffa7ef83d17788a9b4def9a905da73,TRAYUXO12903C99CBF,10
17735,8880d9a8c40e312d0da150b940e63c7860d00ec4,TRAURYF128F147805D,1
17761,15bd740b95b0833aacf31f611c9b6cf23836735c,TRAWOBG128F93256C6,1
17765,f94c1b2b0b6d457833c3dc477ecc0cf08d44bc1d,TRBEDVH128F14599C7,1
17806,dd830ad0877b273d21953744e718f3ba94f65584,TRATKVY128EF35F97A,1
17841,d1cfac9449448f03ab60620241e300204aaf0374,TRARUTP128E0797FC7,1
17916,4ac130dba1850c74e84cd855450cf94803d702e2,TRAURYF128F147805D,6
18003,10ae39f1f4553b93ce5c72dfada7c6c0ac61f935,TRBIFGK128F92F23A2,1
18189,3d1024544c9f468a0a97b5856713cf971208a93e,TRALEPN128F9311179,1
18209,2c3c6ec1074eb2de8b85f25067ac952e43be3741,TRBDOVF128E0795641,1
18375,d1af8a14989160890844e8d990d3e308eda66203,TRASVOH12903CCDC0B,4
18474,b04d530864698c3725f4c0184d27fe6d6e55b598,TRAMWDI128F92FF678,3
18582,34f9303f3beef8ed8f9fe90196aaca540e7a3146,TRALQGZ128F146F500,2
18589,49828a68bc6436f636eea0cf699c88ddb2ad56f3,TRAADLN128F14832E9,1
18679,1d1bc8d86eb333ed35d172fde1d5e9227848ae2d,TRASVOH12903CCDC0B,1
18699,174fae635b9644760f980b916b6e2a7401c9e9aa,TRATIAH128F426B422,2
18880,e11016f7baf69572c0816c5b8f25be523c005c0f,TRAURYF128F147805D,1
18888,5679efbf7e88d4e3efa71b841df01ef0f6a44c6f,TRAWBHE12903CBC4CB,2
18953,d586925ebc2fef2a88c1fc71a1e19cfb5ffb1ea8,TRAFAJC128E078888B,1
18976,964cf7153d5ad718a90c6cd8fc2336b795951580,TRAOOGD128F92E4768,1
19013,5fa0e2c964dc57f8ff5fea88e7ec5f90a2973d8a,TRBHLDQ128F423EF10,4
19047,82c501605c9a8f403ccec1ac6a4b17d63cf39e31,TRBFEID128F42368AC,1
19277,95d1c1da9756d73f61943e255a0e769c0e968fac,TRAURYF128F147805D,8
19300,8390e8c4d6eb2e8e49c1b3cedd43f8398edeca32,TRAGDLM128F4233397,2
19387,379c45229de17fb596a3007580591b90642d4433,TRAAKDG128F42A0ECB,2
19659,6367c2bb9ecaaf52df3943895caa765418a14209,TRBHLXQ128E07856AC,1
19671,280696b92a64661532c8428561f7d49f5b796930,TRAWBHE12903CBC4CB,1
19773,0ef3fc780b2d3e3d95668a1d7d649b38c7c8e6c4,TRATBNG128F92CADA8,1
19830,6b4cab963924bb4afe4e41ed5a552fdfcb095276,TRAUOEY128F421CBD3,18
19938,b9ba242a5c4b1b88a859bea6c1fec6cb3b1a1b7b,TRAWBHE12903CBC4CB,2
20140,d7057855c729216598cd1cae182cf498b80b56aa,TRAWMBE128F423A76C,1
20151,2a938ca50f27786f680190eebfb2c1325dcaa997,TRAWBHE12903CBC4CB,1
20353,8e6efdb60c63c0eff60e407650171fb8a3bc43ba,TRAJXQL128F428CAF0,6
20524,15faa11b91b4b8ccafeaef4f8114d1a9cf7ebe15,TRAFHRS128F14599C0,3
20574,0d078423c0f61442bacfb40b52e6d909f7552cc3,TRAQEKD128F425293D,2
20670,fc3ff2a7b9dfae9cc58446c097a1e4ce2286bb2e,TRBIFGK128F92F23A2,1
20709,05e62f6186673ddfc6ee9d861b1ea628086ac09f,TRAAKDG128F42A0ECB,1
20719,ec08ad4d0d6acf2a1845b5a95732a0ce9f2a30c1,TRANGQX128F422F1DE,1
20784,0fb4d786cddea6647eab77690266b2164fe2d589,TRBASRX12903C9FDA8,6
20884,ec414b86f453aebbb27224dff02e88b2a20826a7,TRBDTZX128F92DFA66,1
20955,5aaa55f7af66150d6c37a508b22d40ab7b205996,TRASHPV128F4281CB1,28
21199,0368179b7234a81b4400e70a611fb9992ac13bee,TRADKAX128E0786B92,6
21272,6c98c0cb029f9b0b997468c228ee9f173161f433,TRAUOEY128F421CBD3,1
21420,2ca768a196fb54667525e63ac4110200727bedf8,TRAWLYF128F92D9EE0,4
21470,0c6c28a2a770e72b215257ffe42fd02d115e4a23,TRALEPN128F9311179,1
21502,2564d3d26206e05587c47333dd8e069f4abbbe71,TRAWBHE12903CBC4CB,7
21546,3b4d1dadeaa8f40e84fda8eddc8eeeea59a4c9ff,TRAURYF128F147805D,1
21606,28fc6dd6636a3b08f4edc38abf3b9e742f04d94d,TRARUTP128E0797FC7,1
21642,c58c2f4db50b6b724f766a2271ee81808d36ebe1,TRBGJDW128F4292EDB,1
21679,22c1eab67a7acc2ef4a1d11047cf56177442e436,TRBBIBE128F4226E29,1
21819,a1959a04c1f03da656df70e68b2ff286a81ce46c,TRAFYGO128F42727E7,1
22046,0bcd9adb9ea09be19c1482666095f704111d600e,TRBIBLJ12903CCF436,3
22085,65094ba12cbf6cbbca14779b80b52362e1e0fc98,TRAVVZW12903CCEEE7,3
22155,47aee8076dec94fe950451ae0f5f0531ac0f3298,TRAKTNE128EF3427CC,1
22270,fc1a37231748ec9ae9bc4a8b2dfafa5a9eb11d55,TRBDOVF128E0795641,1
22277,cc506dedc777f9bcea88209d939e8a56b79677a5,TRBEGHL128F92F76E8,2
22307,55bc263bb3832a38b741518dc4bc41d59f05ee93,TRAURYF128F147805D,1
22373,3078d8a7dafdf5440bd94a90a6d92fe8aa8af6b0,TRAGSKH12903CCCAA9,3
22452,df5f6f57999ad98590f2eb861df290a709f16763,TRAFJYB128F9311212,1
22683,977744e9580600d628bd4010099a0d4cfacb23ae,TRAASQC128F93480F0,1
22755,4631e2a7c3243611a20c8cd1a2c2193790624272,TRAUOEY128F421CBD3,1
22938,213b7b482b37e6ec7567348a2ee9d778b3ada643,TRASPTN128F14B0EF2,4
